ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.GET_TASKS]-[android.permission.READ_PHONE_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_NETWORK_STATE]-,0,1
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,0,0,0
startActivity,com/google/ads/AdActivity,com.google.android.apps.plus,external,0,0,0
startActivityForResult,com/google/ads/AdActivity,com.google.android.apps.plus,external,0,0,0
startActivity,com/google/ads/AdActivity,android.intent.action.VIEW,external,0,0,0
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,14,2,4
startActivity,com/google/ads/internal/j$a$2,android.intent.action.SEND,external,16,7,6
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,55,23,18
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,55,23,18
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,55,23,18
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,75,23,18
startActivity,com/millennialmedia/android/AdDatabaseHelper,null,external,79,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
startActivity,com/millennialmedia/android/EventLogSet,null,external,87,23,18
sendBroadcast,com/millennialmedia/android/MillennialMediaView,com.android.music.musicservicecommand,external,100,36,25
startActivity,com/millennialmedia/android/MMAdView,android.intent.action.VIEW,internal,105,36,31
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,android.intent.action.VIEW,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/VideoPlayer,external,113,42,31
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/VideoPlayer,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,android.intent.action.DIAL,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,android.intent.action.VIEW,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/VideoPlayer,external,113,42,31
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/VideoPlayer,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivityForResult,com/millennialmedia/android/MMAdViewController$4,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController$4,android.intent.action.VIEW,external,113,42,31
startActivity,com/millennialmedia/android/MMAdViewController,com/millennialmedia/android/VideoPlayer,external,113,150,31
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,113,150,35
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,113,150,35
startActivityForResult,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,113,150,35
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.DIAL,external,113,150,35
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,113,150,35
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,android.intent.action.VIEW,external,113,150,35
startActivity,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,113,150,35
startActivityForResult,com/millennialmedia/android/MMAdViewWebOverlay$OverlayWebViewClient,com/millennialmedia/android/VideoPlayer,external,113,150,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoAd,null,external,113,168,35
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,310,42
startActivityForResult,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.DIAL,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,310,42
startActivityForResult,com/millennialmedia/android/VideoPlayer,com/millennialmedia/android/MMAdViewOverlayActivity,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,42
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,43
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,43
startActivity,com/millennialmedia/android/VideoPlayer,android.intent.action.VIEW,external,113,310,43
