ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-,0,0
startActivity,com/game/basketballshoot/b,com/MoreGames/API/MoreGames,external,0,0,0
startActivity,com/game/basketballshoot/c,android.intent.action.VIEW,external,0,0,0
startActivity,com/google/ads/AdActivity$StaticMethodWrapper,com/google/ads/AdActivity,external,0,0,4
startActivity,com/google/ads/AdActivity,Tried to launch empty intent.,external,0,0,4
startActivity,com/google/ads/internal/AdWebView$1,android.intent.action.VIEW,external,11,32,6
startActivity,com/google/ads/internal/k$a$3,android.intent.action.SEND,external,15,41,12
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,41,55,31
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.VIEW,external,41,55,31
startActivity,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,text/plain,external,41,55,31
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.EDIT,external,41,55,31
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.media.action.IMAGE_CAPTURE,external,41,55,31
startActivity,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,41,55,31
startActivityForResult,com/inmobi/androidsdk/IMBrowserActivity,android.intent.action.PICK,external,41,55,31
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,com/inmobi/androidsdk/IMBrowserActivity,external,41,55,31
startActivity,com/inmobi/androidsdk/impl/imai/IMAIUtility,android.intent.action.VIEW,external,41,55,31
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,96,130,39
startActivity,com/inmobi/re/container/IMWebView,android.intent.action.VIEW,external,96,130,41
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic$a,android.intent.action.VIEW,external,96,134,45
startActivity,com/inmobi/re/container/mraidimpl/MRAIDBasic,com/inmobi/androidsdk/IMBrowserActivity,external,96,134,45
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.CALL,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.SEND,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,android.intent.action.VIEW,external,96,134,54
startActivity,com/inmobi/re/controller/JSUtilityController,com/inmobi/androidsdk/IMBrowserActivity,external,98,134,54
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.CALL,external,100,281,77
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.SEND,external,100,281,77
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,100,281,77
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,125,281,77
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,125,281,77
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,125,281,77
startActivity,com/millennialmedia/android/BridgeMMInterstitial,android.intent.action.VIEW,external,125,323,77
startActivity,com/millennialmedia/android/BridgeMMMedia$PickerActivity,android.media.action.IMAGE_CAPTURE,external,127,353,77
startActivityForResult,com/millennialmedia/android/BridgeMMMedia$PickerActivity,android.media.action.IMAGE_CAPTURE,external,127,353,77
startActivity,com/millennialmedia/android/BridgeMMMedia$PickerActivity,image/*,external,127,353,77
startActivityForResult,com/millennialmedia/android/BridgeMMMedia$PickerActivity,image/*,external,127,353,77
startActivity,com/millennialmedia/android/HttpRedirection$1,null,external,138,442,81
startActivity,com/millennialmedia/android/MMBaseActivity,null,external,140,470,103
startActivity,com/millennialmedia/android/MMBaseActivity,null,external,140,470,103
startActivityForResult,com/millennialmedia/android/MMBaseActivity,null,external,140,470,103
sendBroadcast,com/millennialmedia/android/MMSDK$Event,error,external,172,475,108
startActivity,com/millennialmedia/android/MMWebViewClient,null,external,178,479,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,android.intent.action.VIEW,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,android.intent.action.VIEW,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,525,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,527,114
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,186,527,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,531,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,531,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,531,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,536,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,536,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,536,114
startActivity,com/millennialmedia/android/VideoAd,null,external,186,536,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoAd,videoId,external,186,553,114
startActivity,com/millennialmedia/android/VideoPlayerActivity,null,external,186,553,118
startActivity,com/MoreGames/API/CCHomeAdsActivity,android.intent.action.VIEW,external,186,561,122
startActivity,com/MoreGames/API/f,com/MoreGames/API/CCHomeAdsActivity,external,186,561,122
startActivity,com/MoreGames/API/f,com/MoreGames/API/CCHomeAdsActivity,external,186,579,122
startActivity,com/MoreGames/API/MoreGames,android.intent.action.VIEW,internal,186,583,128
