ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.WAKE_LOCK]-[android.permission.RESTART_PACKAGES]-[android.permission.CHANGE_WIFI_STATE]-[android.permission.GET_TASKS]-[android.permission.SYSTEM_ALERT_WINDOW]-[android.permission.RECEIVE_PACKAGE_ADDED]-[android.permission.DISABLE_KEYGUARD]-[android.permission.RECEIVE_USER_PRESENT]-[android.permission.BLUETOOTH]-[android.permission.BLUETOOTH_ADMIN]-[com.android.launcher.permission.INSTALL_SHORTCUT]-[com.android.launcher.permission.READ_SETTINGS]-[android.permission.READ_EXTERNAL_STORAGE]-[android.permission.MOUNT_UNMOUNT_FILESYSTEMS]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.ACCESS_COARSE_UPDATES]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_LOCATION_EXTRA_COMMANDS]-[android.permission.CHANGE_NETWORK_STATE]-[android.permission.CLEAR_APP_CACHE]-[android.permission.VIBRATE]-,0,0
startActivity,chen/tyd/floatball/service/TopFloatService$13$1,android.intent.action.VIEW,external,7,200,8
startActivity,chen/tyd/floatball/service/TopFloatService$16,android.intent.action.VIEW,external,7,200,9
startActivity,chen/tyd/floatball/service/TopFloatService$21,android.intent.action.VIEW,external,7,203,9
bindService,com/umeng/common/net/a$b,null,external,88,392,19
bindService,com/umeng/common/net/a,com/umeng/common/net/DownloadingService,external,88,392,19
startActivity,com/umeng/common/net/d,android.intent.action.VIEW,external,112,395,19
startActivity,com/umeng/common/net/DownloadingService$e,android.intent.action.VIEW,external,112,474,19
startActivity,com/umeng/common/util/g,null,external,126,590,19
startActivity,com/umeng/common/util/g,android.intent.action.VIEW,external,126,590,19
sendBroadcast,org/androidym/san/jisuliec/MainActivity,android.intent.action.MAIN,external,204,1577,159
