ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.WRITE_EXTERNAL_STORAGE]-,0,0
startActivities,android/support/v4/app/ActivityCompat,null,external,0,0,0
startActivities,android/support/v4/app/ActivityCompatHoneycomb,null,external,0,3,0
startActivity,android/support/v4/app/Fragment,null,external,0,10,2
startActivityFromFragment,android/support/v4/app/Fragment,null,external,0,10,2
startActivity,android/support/v4/app/Fragment,null,external,0,10,2
startActivityFromFragment,android/support/v4/app/Fragment,null,external,0,10,2
startActivity,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivityForResult,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivity,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivityForResult,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivity,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivityForResult,android/support/v4/app/FragmentActivity,null,external,0,14,6
startActivity,android/support/v4/app/NavUtils,android.intent.action.MAIN,external,0,48,11
startActivity,android/support/v4/app/ShareCompat$IntentBuilder,android.intent.action.SEND,external,0,48,11
startActivities,android/support/v4/app/TaskStackBuilder,null,external,0,48,11
startActivities,android/support/v4/app/TaskStackBuilder,null,external,0,48,11
startActivity,android/support/v4/app/TaskStackBuilder,null,external,0,48,11
sendBroadcast,android/support/v4/content/LocalBroadcastManager,null,external,4,56,11
bindService,com/unity3d/player/a/e,null,external,4,70,24
startActivity,com/unity3d/player/UnityPlayer$17,null,external,49,82,32
startActivity,com/unity3d/player/UnityPlayer,android.intent.action.VIEW,external,55,100,49
startActivity,jp/co/cayto/appc/sdk/android/AppC$Gamers,jp/co/cayto/appc/sdk/android/AppCGamersActivity,external,55,111,67
startActivity,jp/co/cayto/appc/sdk/android/AppC,jp/co/cayto/appc/sdk/android/AppCAgreementActivity,internal,55,111,67
startActivity,jp/co/cayto/appc/sdk/android/AppC,jp/co/cayto/appc/sdk/android/AppCWebActivity,internal,55,111,67
startActivity,jp/co/cayto/appc/sdk/android/AppCCutinView$2,jp/co/cayto/appc/sdk/android/AppCAgreementActivity,external,55,111,74
startActivity,jp/co/cayto/appc/sdk/android/AppCCutinView$2,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,55,111,74
startActivity,jp/co/cayto/appc/sdk/android/AppCGamersActivity$CustomWebChromeClient,android.intent.action.GET_CONTENT,external,55,111,81
startActivityForResult,jp/co/cayto/appc/sdk/android/AppCGamersActivity$CustomWebChromeClient,android.intent.action.GET_CONTENT,external,55,111,81
startActivity,jp/co/cayto/appc/sdk/android/AppCGamersActivity$CustomWebChromeClient,android.intent.action.GET_CONTENT,external,55,111,81
startActivityForResult,jp/co/cayto/appc/sdk/android/AppCGamersActivity$CustomWebChromeClient,android.intent.action.GET_CONTENT,external,55,111,81
startActivity,jp/co/cayto/appc/sdk/android/AppCGamersActivity$CustomWebViewClient,android.intent.action.VIEW,external,55,111,81
startActivity,jp/co/cayto/appc/sdk/android/AppCGamersActivity,jp/co/cayto/appc/sdk/android/AppCAgreementActivity,internal,55,124,81
sendBroadcast,jp/co/cayto/appc/sdk/android/AppCGamersActivity,android.intent.action.MEDIA_SCANNER_SCAN_FILE,internal,55,129,81
startActivity,jp/co/cayto/appc/sdk/android/AppCMarqueeView,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,55,130,86
startActivity,jp/co/cayto/appc/sdk/android/AppCMoveIconView$PageView$1,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,57,130,88
startActivity,jp/co/cayto/appc/sdk/android/AppCSimpleView$2,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,57,130,91
startActivity,jp/co/cayto/appc/sdk/android/AppCWebActivity$CustomWebViewClient,android.intent.action.VIEW,external,57,130,96
startActivity,jp/co/cayto/appc/sdk/android/AppCWebActivity,jp/co/cayto/appc/sdk/android/AppCAgreementActivity,internal,57,130,96
sendOrderedBroadcast,jp/co/cayto/appc/sdk/android/common/AppController$CreateGIDTask,jp.co.cayto.appc.sdk.android.remote.command.gid.set,external,57,130,100
sendOrderedBroadcast,jp/co/cayto/appc/sdk/android/view/AgreementDialog$4,jp.co.cayto.appc.sdk.android.remote.command.gid.remove,external,520,194,107
sendOrderedBroadcast,jp/co/cayto/appc/sdk/android/view/AgreementDialog$4,jp.co.cayto.appc.sdk.android.remote.command.gid.remove,external,520,194,107
startActivity,jp/co/cayto/appc/sdk/android/view/AppHorizontalScrollView$1,jp/co/cayto/appc/sdk/android/AppCAgreementActivity,external,520,194,113
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewBasic$HttpResponseTask,android.intent.action.VIEW,external,520,194,121
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewBasic$HttpResponseTask,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,520,194,121
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewCube$EditIconInfoTask$1,android.intent.action.VIEW,external,520,194,127
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewCube$EditIconInfoTask$1,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,520,194,127
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewManga$EditIconInfoTask$1,android.intent.action.VIEW,external,520,194,134
startActivity,jp/co/cayto/appc/sdk/android/view/CutinViewManga$EditIconInfoTask$1,jp/co/cayto/appc/sdk/android/AppCWebActivity,external,520,194,134
