ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_FINE_LOCATION]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.RECEIVE_BOOT_COMPLETED]-[android.permission.ACCESS_NETWORK_STATE]-,0,0
bindService,apps/momentum/Main,file:///android_asset/www/index.html,external,0,0,0
startService,apps/momentum/service/StartService,momentum.service.RemoteService,external,4,6,4
bindService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
bindService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivity,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivity,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivity,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivityForResult,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivity,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivityForResult,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
bindService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
bindService,org/apache/cordova/api/LegacyContext,null,external,4,6,4
startActivity,org/apache/cordova/CameraLauncher,Get Picture,external,14,56,4
startActivityForResult,org/apache/cordova/CameraLauncher,Get Picture,external,14,56,4
startActivity,org/apache/cordova/CameraLauncher,android.media.action.IMAGE_CAPTURE,external,18,75,4
startActivityForResult,org/apache/cordova/CameraLauncher,android.media.action.IMAGE_CAPTURE,external,18,75,4
startActivity,org/apache/cordova/Capture,android.provider.MediaStore.RECORD_SOUND,external,18,75,4
startActivityForResult,org/apache/cordova/Capture,android.provider.MediaStore.RECORD_SOUND,external,18,75,4
startActivity,org/apache/cordova/Capture,android.media.action.IMAGE_CAPTURE,external,18,79,4
startActivityForResult,org/apache/cordova/Capture,android.media.action.IMAGE_CAPTURE,external,18,79,4
startActivity,org/apache/cordova/Capture,android.media.action.VIDEO_CAPTURE,external,18,79,4
startActivityForResult,org/apache/cordova/Capture,android.media.action.VIDEO_CAPTURE,external,18,79,4
startActivity,org/apache/cordova/CordovaWebView,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/CordovaWebView,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/CordovaWebViewClient,android.intent.action.DIAL,external,65,123,22
startActivity,org/apache/cordova/CordovaWebViewClient,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/CordovaWebViewClient,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/CordovaWebViewClient,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/CordovaWebViewClient,android.intent.action.VIEW,external,65,123,22
startActivity,org/apache/cordova/DroidGap,null,external,70,152,34
startActivityForResult,org/apache/cordova/DroidGap,null,external,70,152,34
startActivity,org/apache/cordova/InAppBrowser,android.intent.action.VIEW,external,125,564,38
